#    L    TT             EE             BB             TE          
     2    0.49076E+00    0.90685E-05    0.16185E-04    0.57995E-03
     3    0.39528E+00    0.96123E-05    0.16431E-04    0.52089E-05
     4    0.37277E+00    0.87108E-05    0.14281E-04   -0.16469E-03
     5    0.36525E+00    0.68947E-05    0.11172E-04   -0.20769E-03
     6    0.36319E+00    0.50218E-05    0.81599E-05   -0.20311E-03
     7    0.36369E+00    0.36247E-05    0.58106E-05   -0.18554E-03
     8    0.36528E+00    0.28663E-05    0.42835E-05   -0.17142E-03
     9    0.36743E+00    0.26788E-05    0.35052E-05   -0.16474E-03
    10    0.36979E+00    0.28906E-05    0.33060E-05   -0.16529E-03
    11    0.37188E+00    0.33428E-05    0.35027E-05   -0.17423E-03
    12    0.37323E+00    0.39267E-05    0.39487E-05   -0.18830E-03
    13    0.37415E+00    0.45937E-05    0.45501E-05   -0.20668E-03
    14    0.37510E+00    0.53133E-05    0.52356E-05   -0.22951E-03
    15    0.37627E+00    0.60758E-05    0.59764E-05   -0.25658E-03
    16    0.37766E+00    0.68773E-05    0.67571E-05   -0.28759E-03
    17    0.37894E+00    0.77150E-05    0.75713E-05   -0.32219E-03
    18    0.37975E+00    0.85870E-05    0.84152E-05   -0.35991E-03
    19    0.38008E+00    0.94934E-05    0.92876E-05   -0.39990E-03
    20    0.38003E+00    0.10435E-04    0.10188E-04   -0.44151E-03
    21    0.37968E+00    0.11412E-04    0.11114E-04   -0.48526E-03
    22    0.37911E+00    0.12425E-04    0.12066E-04   -0.53170E-03
    23    0.37833E+00    0.13470E-04    0.13041E-04   -0.58049E-03
    24    0.37733E+00    0.14544E-04    0.14037E-04   -0.63116E-03
    25    0.37614E+00    0.15645E-04    0.15054E-04   -0.68350E-03
    26    0.37478E+00    0.16770E-04    0.16087E-04   -0.73735E-03
    27    0.37325E+00    0.17914E-04    0.17139E-04   -0.79220E-03
    28    0.37156E+00    0.19076E-04    0.18208E-04   -0.84771E-03
    29    0.36970E+00    0.20267E-04    0.19295E-04   -0.90442E-03
    30    0.36768E+00    0.21496E-04    0.20398E-04   -0.96286E-03
    31    0.36552E+00    0.22760E-04    0.21514E-04   -0.10226E-02
    32    0.36323E+00    0.24053E-04    0.22643E-04   -0.10831E-02
    33    0.36081E+00    0.25361E-04    0.23781E-04   -0.11442E-02
