#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10800E+04    0.35012E-01    0.16185E-03    0.28022E+01    0.50813E-07    0.32067E-02   -0.13133E-04
     3    0.10157E+04    0.47178E-01    0.16431E-03    0.32152E+01    0.61874E-07    0.31998E-02   -0.14446E-04
     4    0.95596E+03    0.43487E-01    0.14281E-03    0.30798E+01    0.71332E-07    0.31184E-02   -0.12745E-04
     5    0.91112E+03    0.31257E-01    0.11172E-03    0.26781E+01    0.79551E-07    0.30098E-02   -0.93697E-05
     6    0.87988E+03    0.18783E-01    0.81599E-04    0.22010E+01    0.86736E-07    0.28945E-02   -0.54366E-05
     7    0.85933E+03    0.10337E-01    0.58106E-04    0.17575E+01    0.93071E-07    0.27824E-02   -0.18297E-05
     8    0.84629E+03    0.61326E-02    0.42835E-04    0.13992E+01    0.98688E-07    0.26733E-02    0.84983E-06
     9    0.83913E+03    0.45017E-02    0.35052E-04    0.11406E+01    0.10370E-06    0.25656E-02    0.23472E-05
    10    0.83631E+03    0.38361E-02    0.33060E-04    0.97941E+00    0.10817E-06    0.24611E-02    0.27598E-05
    11    0.83637E+03    0.33491E-02    0.35027E-04    0.90170E+00    0.11219E-06    0.23650E-02    0.23974E-05
    12    0.83990E+03    0.30292E-02    0.39487E-04    0.88924E+00    0.11579E-06    0.22786E-02    0.15794E-05
    13    0.84517E+03    0.26513E-02    0.45501E-04    0.91778E+00    0.11902E-06    0.21996E-02    0.56693E-06
    14    0.85121E+03    0.25766E-02    0.52356E-04    0.96378E+00    0.12193E-06    0.21254E-02   -0.39844E-06
    15    0.85839E+03    0.27395E-02    0.59764E-04    0.10196E+01    0.12454E-06    0.20535E-02   -0.10764E-05
    16    0.86725E+03    0.29753E-02    0.67571E-04    0.10820E+01    0.12689E-06    0.19825E-02   -0.12997E-05
    17    0.87775E+03    0.33704E-02    0.75713E-04    0.11465E+01    0.12900E-06    0.19142E-02   -0.11800E-05
    18    0.88898E+03    0.38760E-02    0.84152E-04    0.12104E+01    0.13089E-06    0.18506E-02   -0.89215E-06
    19    0.90175E+03    0.44999E-02    0.92876E-04    0.12741E+01    0.13259E-06    0.17911E-02   -0.59887E-06
    20    0.91434E+03    0.53059E-02    0.10188E-03    0.13361E+01    0.13410E-06    0.17345E-02   -0.41680E-06
    21    0.92715E+03    0.62560E-02    0.11114E-03    0.14007E+01    0.13545E-06    0.16805E-02   -0.29596E-06
    22    0.94048E+03    0.73717E-02    0.12066E-03    0.14706E+01    0.13664E-06    0.16290E-02   -0.17500E-06
