#    L    TT             EE             BB             TE          
     2    0.10800E+04    0.35012E-01    0.16185E-03    0.28022E+01
     3    0.10157E+04    0.47178E-01    0.16431E-03    0.32152E+01
     4    0.95596E+03    0.43487E-01    0.14281E-03    0.30798E+01
     5    0.91112E+03    0.31257E-01    0.11172E-03    0.26781E+01
     6    0.87988E+03    0.18783E-01    0.81599E-04    0.22010E+01
     7    0.85933E+03    0.10337E-01    0.58106E-04    0.17575E+01
     8    0.84629E+03    0.61326E-02    0.42835E-04    0.13992E+01
     9    0.83913E+03    0.45017E-02    0.35052E-04    0.11406E+01
    10    0.83631E+03    0.38361E-02    0.33060E-04    0.97941E+00
    11    0.83637E+03    0.33491E-02    0.35027E-04    0.90170E+00
    12    0.83990E+03    0.30292E-02    0.39487E-04    0.88924E+00
    13    0.84517E+03    0.26513E-02    0.45501E-04    0.91778E+00
    14    0.85121E+03    0.25766E-02    0.52356E-04    0.96378E+00
    15    0.85839E+03    0.27395E-02    0.59764E-04    0.10196E+01
    16    0.86725E+03    0.29753E-02    0.67571E-04    0.10820E+01
    17    0.87775E+03    0.33704E-02    0.75713E-04    0.11465E+01
    18    0.88898E+03    0.38760E-02    0.84152E-04    0.12104E+01
    19    0.90175E+03    0.44999E-02    0.92876E-04    0.12741E+01
    20    0.91434E+03    0.53059E-02    0.10188E-03    0.13361E+01
    21    0.92715E+03    0.62560E-02    0.11114E-03    0.14007E+01
    22    0.94048E+03    0.73717E-02    0.12066E-03    0.14706E+01
    23    0.95415E+03    0.86539E-02    0.13041E-03    0.15422E+01
    24    0.96823E+03    0.10071E-01    0.14037E-03    0.16110E+01
    25    0.98266E+03    0.11654E-01    0.15054E-03    0.16760E+01
    26    0.99727E+03    0.13404E-01    0.16087E-03    0.17377E+01
    27    0.10123E+04    0.15307E-01    0.17139E-03    0.17932E+01
    28    0.10276E+04    0.17376E-01    0.18208E-03    0.18407E+01
    29    0.10432E+04    0.19626E-01    0.19295E-03    0.18803E+01
    30    0.10591E+04    0.22083E-01    0.20398E-03    0.19115E+01
    31    0.10750E+04    0.24749E-01    0.21514E-03    0.19350E+01
    32    0.10913E+04    0.27617E-01    0.22643E-03    0.19516E+01
    33    0.11079E+04    0.30691E-01    0.23781E-03    0.19592E+01
    34    0.11247E+04    0.33989E-01    0.24928E-03    0.19571E+01
    35    0.11416E+04    0.37527E-01    0.26079E-03    0.19477E+01
    36    0.11586E+04    0.41319E-01    0.27233E-03    0.19321E+01
    37    0.11757E+04    0.45356E-01    0.28390E-03    0.19069E+01
    38    0.11932E+04    0.49631E-01    0.29552E-03    0.18704E+01
    39    0.12111E+04    0.54148E-01    0.30717E-03    0.18226E+01
    40    0.12291E+04    0.58920E-01    0.31881E-03    0.17641E+01
    41    0.12473E+04    0.63962E-01    0.33039E-03    0.16949E+01
    42    0.12655E+04    0.69284E-01    0.34192E-03    0.16142E+01
    43    0.12839E+04    0.74895E-01    0.35337E-03    0.15210E+01
    44    0.13022E+04    0.80786E-01    0.36474E-03    0.14151E+01
    45    0.13210E+04    0.86961E-01    0.37603E-03    0.12967E+01
