#    L    TT             EE             BB             TE          
     2    0.11732E+04    0.36737E-01    0.32388E-02    0.29124E+01
     3    0.10908E+04    0.49008E-01    0.32897E-02    0.32162E+01
     4    0.10268E+04    0.45147E-01    0.28621E-02    0.30485E+01
     5    0.98053E+03    0.32575E-01    0.22431E-02    0.26387E+01
     6    0.94891E+03    0.19750E-01    0.16443E-02    0.21624E+01
     7    0.92846E+03    0.11042E-01    0.11785E-02    0.17223E+01
     8    0.91573E+03    0.66983E-02    0.87776E-03    0.13666E+01
     9    0.90899E+03    0.50370E-02    0.72738E-03    0.11093E+01
    10    0.90663E+03    0.44175E-02    0.69341E-03    0.94800E+00
    11    0.90710E+03    0.40229E-02    0.73921E-03    0.86859E+00
    12    0.91090E+03    0.38209E-02    0.83546E-03    0.85345E+00
    13    0.91636E+03    0.35775E-02    0.96340E-03    0.87849E+00
    14    0.92259E+03    0.36477E-02    0.11087E-02    0.92014E+00
    15    0.93001E+03    0.39643E-02    0.12658E-02    0.97081E+00
    16    0.93915E+03    0.43619E-02    0.14313E-02    0.10273E+01
    17    0.94991E+03    0.49262E-02    0.16042E-02    0.10852E+01
    18    0.96131E+03    0.56081E-02    0.17837E-02    0.11420E+01
    19    0.97416E+03    0.64155E-02    0.19694E-02    0.11980E+01
    20    0.98676E+03    0.74121E-02    0.21613E-02    0.12521E+01
    21    0.99952E+03    0.85603E-02    0.23591E-02    0.13084E+01
    22    0.10128E+04    0.98816E-02    0.25625E-02    0.13694E+01
    23    0.10263E+04    0.11376E-01    0.27712E-02    0.14317E+01
    24    0.10402E+04    0.13012E-01    0.29849E-02    0.14908E+01
    25    0.10545E+04    0.14818E-01    0.32030E-02    0.15458E+01
    26    0.10688E+04    0.16798E-01    0.34253E-02    0.15972E+01
    27    0.10836E+04    0.18934E-01    0.36518E-02    0.16423E+01
    28    0.10986E+04    0.21240E-01    0.38825E-02    0.16792E+01
    29    0.11139E+04    0.23735E-01    0.41173E-02    0.17079E+01
    30    0.11294E+04    0.26442E-01    0.43559E-02    0.17280E+01
    31    0.11449E+04    0.29368E-01    0.45979E-02    0.17401E+01
    32    0.11608E+04    0.32500E-01    0.48429E-02    0.17451E+01
    33    0.11770E+04    0.35842E-01    0.50905E-02    0.17410E+01
    34    0.11933E+04    0.39410E-01    0.53404E-02    0.17272E+01
    35    0.12098E+04    0.43221E-01    0.55918E-02    0.17059E+01
    36    0.12263E+04    0.47290E-01    0.58443E-02    0.16785E+01
    37    0.12428E+04    0.51609E-01    0.60981E-02    0.16414E+01
    38    0.12598E+04    0.56170E-01    0.63537E-02    0.15931E+01
    39    0.12771E+04    0.60977E-01    0.66104E-02    0.15335E+01
    40    0.12945E+04    0.66040E-01    0.68674E-02    0.14633E+01
    41    0.13121E+04    0.71376E-01    0.71241E-02    0.13825E+01
    42    0.13297E+04    0.76994E-01    0.73801E-02    0.12903E+01
    43    0.13474E+04    0.82902E-01    0.76353E-02    0.11856E+01
    44    0.13651E+04    0.89091E-01    0.78896E-02    0.10685E+01
    45    0.13831E+04    0.95566E-01    0.81427E-02    0.93897E+00
    46    0.14015E+04    0.10233E+00    0.83946E-02    0.79512E+00
    47    0.14199E+04    0.10938E+00    0.86448E-02    0.63794E+00
    48    0.14384E+04    0.11672E+00    0.88932E-02    0.47169E+00
    49    0.14570E+04    0.12433E+00    0.91393E-02    0.30005E+00
    50    0.14760E+04    0.13218E+00    0.93829E-02    0.11991E+00
    51    0.14951E+04    0.14023E+00    0.96237E-02   -0.73279E-01
    52    0.15146E+04    0.14858E+00    0.98615E-02   -0.28427E+00
    53    0.15341E+04    0.15738E+00    0.10096E-01   -0.51600E+00
    54    0.15535E+04    0.16661E+00    0.10327E-01   -0.76344E+00
    55    0.15731E+04    0.17627E+00    0.10555E-01   -0.10215E+01
    56    0.15930E+04    0.18619E+00    0.10779E-01   -0.12912E+01
    57    0.16132E+04    0.19629E+00    0.11000E-01   -0.15724E+01
    58    0.16337E+04    0.20655E+00    0.11216E-01   -0.18661E+01
    59    0.16543E+04    0.21701E+00    0.11428E-01   -0.21729E+01
    60    0.16751E+04    0.22773E+00    0.11635E-01   -0.24922E+01
    61    0.16964E+04    0.23880E+00    0.11838E-01   -0.28233E+01
    62    0.17175E+04    0.25019E+00    0.12036E-01   -0.31672E+01
    63    0.17388E+04    0.26188E+00    0.12229E-01   -0.35248E+01
    64    0.17604E+04    0.27388E+00    0.12417E-01   -0.38975E+01
    65    0.17821E+04    0.28617E+00    0.12600E-01   -0.42858E+01
    66    0.18041E+04    0.29867E+00    0.12778E-01   -0.46881E+01
    67    0.18263E+04    0.31139E+00    0.12950E-01   -0.51016E+01
    68    0.18489E+04    0.32437E+00    0.13117E-01   -0.55248E+01
    69    0.18717E+04    0.33756E+00    0.13279E-01   -0.59559E+01
    70    0.18948E+04    0.35100E+00    0.13435E-01   -0.63968E+01
    71    0.19180E+04    0.36468E+00    0.13585E-01   -0.68500E+01
    72    0.19415E+04    0.37858E+00    0.13729E-01   -0.73166E+01
    73    0.19650E+04    0.39265E+00    0.13868E-01   -0.77970E+01
    74    0.19888E+04    0.40688E+00    0.14001E-01   -0.82902E+01
    75    0.20129E+04    0.42129E+00    0.14128E-01   -0.87944E+01
    76    0.20374E+04    0.43588E+00    0.14249E-01   -0.93090E+01
    77    0.20621E+04    0.45063E+00    0.14365E-01   -0.98337E+01
    78    0.20872E+04    0.46557E+00    0.14475E-01   -0.10370E+02
    79    0.21125E+04    0.48065E+00    0.14579E-01   -0.10914E+02
    80    0.21382E+04    0.49587E+00    0.14678E-01   -0.11467E+02
    81    0.21640E+04    0.51117E+00    0.14771E-01   -0.12029E+02
    82    0.21901E+04    0.52657E+00    0.14857E-01   -0.12601E+02
    83    0.22164E+04    0.54205E+00    0.14939E-01   -0.13181E+02
    84    0.22430E+04    0.55761E+00    0.15014E-01   -0.13767E+02
    85    0.22697E+04    0.57322E+00    0.15084E-01   -0.14362E+02
    86    0.22966E+04    0.58889E+00    0.15148E-01   -0.14964E+02
    87    0.23240E+04    0.60459E+00    0.15206E-01   -0.15572E+02
    88    0.23514E+04    0.62033E+00    0.15259E-01   -0.16186E+02
    89    0.23791E+04    0.63610E+00    0.15306E-01   -0.16807E+02
    90    0.24071E+04    0.65187E+00    0.15348E-01   -0.17433E+02
    91    0.24352E+04    0.66761E+00    0.15384E-01   -0.18064E+02
    92    0.24636E+04    0.68332E+00    0.15415E-01   -0.18699E+02
    93    0.24924E+04    0.69899E+00    0.15441E-01   -0.19339E+02
    94    0.25212E+04    0.71458E+00    0.15462E-01   -0.19981E+02
    95    0.25503E+04    0.73009E+00    0.15478E-01   -0.20628E+02
    96    0.25794E+04    0.74551E+00    0.15489E-01   -0.21277E+02
    97    0.26090E+04    0.76082E+00    0.15496E-01   -0.21929E+02
    98    0.26388E+04    0.77601E+00    0.15498E-01   -0.22581E+02
    99    0.26687E+04    0.79105E+00    0.15496E-01   -0.23236E+02
   100    0.26990E+04    0.80593E+00    0.15489E-01   -0.23889E+02
   101    0.27293E+04    0.82072E+00    0.15479E-01   -0.24545E+02
   102    0.27603E+04    0.83527E+00    0.15465E-01   -0.25199E+02
   103    0.27911E+04    0.84964E+00    0.15446E-01   -0.25854E+02
