#    L    TT             EE             TE             PP             TP          
     2    0.10751E+04    0.34921E-01    0.27964E+01    0.10541E+07    0.29891E+05
     3    0.10118E+04    0.47082E-01    0.32152E+01    0.16244E+07    0.35591E+05
     4    0.95223E+03    0.43399E-01    0.30815E+01    0.21308E+07    0.38211E+05
     5    0.90747E+03    0.31188E-01    0.26802E+01    0.25784E+07    0.39210E+05
     6    0.87625E+03    0.18733E-01    0.22030E+01    0.29742E+07    0.39335E+05
     7    0.85569E+03    0.10301E-01    0.17594E+01    0.33259E+07    0.38999E+05
     8    0.84264E+03    0.61040E-02    0.14009E+01    0.36394E+07    0.38366E+05
     9    0.83546E+03    0.44749E-02    0.11422E+01    0.39203E+07    0.37513E+05
    10    0.83261E+03    0.38072E-02    0.98107E+00    0.41723E+07    0.36531E+05
    11    0.83265E+03    0.33157E-02    0.90345E+00    0.44000E+07    0.35545E+05
    12    0.83617E+03    0.29899E-02    0.89113E+00    0.46051E+07    0.34606E+05
    13    0.84143E+03    0.26054E-02    0.91985E+00    0.47899E+07    0.33705E+05
    14    0.84746E+03    0.25235E-02    0.96608E+00    0.49573E+07    0.32819E+05
    15    0.85463E+03    0.26787E-02    0.10222E+01    0.51088E+07    0.31921E+05
    16    0.86347E+03    0.29065E-02    0.10849E+01    0.52460E+07    0.30999E+05
    17    0.87396E+03    0.32932E-02    0.11497E+01    0.53703E+07    0.30087E+05
    18    0.88518E+03    0.37901E-02    0.12140E+01    0.54832E+07    0.29223E+05
    19    0.89794E+03    0.44050E-02    0.12781E+01    0.55853E+07    0.28401E+05
    20    0.91054E+03    0.52015E-02    0.13405E+01    0.56772E+07    0.27607E+05
    21    0.92335E+03    0.61418E-02    0.14056E+01    0.57601E+07    0.26838E+05
    22    0.93669E+03    0.72475E-02    0.14759E+01    0.58350E+07    0.26096E+05
    23    0.95037E+03    0.85192E-02    0.15480E+01    0.59024E+07    0.25384E+05
    24    0.96446E+03    0.99255E-02    0.16173E+01    0.59628E+07    0.24704E+05
    25    0.97890E+03    0.11497E-01    0.16829E+01    0.60168E+07    0.24053E+05
    26    0.99352E+03    0.13236E-01    0.17451E+01    0.60649E+07    0.23429E+05
    27    0.10086E+04    0.15128E-01    0.18011E+01    0.61077E+07    0.22826E+05
    28    0.10239E+04    0.17185E-01    0.18492E+01    0.61455E+07    0.22240E+05
    29    0.10395E+04    0.19424E-01    0.18894E+01    0.61784E+07    0.21676E+05
    30    0.10554E+04    0.21868E-01    0.19211E+01    0.62065E+07    0.21138E+05
    31    0.10714E+04    0.24522E-01    0.19453E+01    0.62304E+07    0.20621E+05
    32    0.10877E+04    0.27377E-01    0.19624E+01    0.62506E+07    0.20121E+05
    33    0.11043E+04    0.30437E-01    0.19707E+01    0.62674E+07    0.19635E+05
    34    0.11211E+04    0.33722E-01    0.19692E+01    0.62809E+07    0.19164E+05
    35    0.11381E+04    0.37247E-01    0.19604E+01    0.62914E+07    0.18708E+05
    36    0.11551E+04    0.41026E-01    0.19454E+01    0.62990E+07    0.18268E+05
    37    0.11722E+04    0.45049E-01    0.19208E+01    0.63039E+07    0.17849E+05
    38    0.11897E+04    0.49310E-01    0.18849E+01    0.63065E+07    0.17455E+05
    39    0.12077E+04    0.53813E-01    0.18378E+01    0.63066E+07    0.17079E+05
    40    0.12257E+04    0.58571E-01    0.17799E+01    0.63046E+07    0.16716E+05
    41    0.12439E+04    0.63599E-01    0.17113E+01    0.63005E+07    0.16358E+05
    42    0.12622E+04    0.68907E-01    0.16311E+01    0.62944E+07    0.16007E+05
    43    0.12806E+04    0.74503E-01    0.15385E+01    0.62864E+07    0.15664E+05
    44    0.12990E+04    0.80379E-01    0.14333E+01    0.62768E+07    0.15331E+05
    45    0.13177E+04    0.86540E-01    0.13154E+01    0.62655E+07    0.15008E+05
    46    0.13368E+04    0.92989E-01    0.11831E+01    0.62528E+07    0.14697E+05
    47    0.13559E+04    0.99724E-01    0.10372E+01    0.62388E+07    0.14397E+05
    48    0.13752E+04    0.10675E+00    0.88205E+00    0.62235E+07    0.14107E+05
    49    0.13946E+04    0.11404E+00    0.72124E+00    0.62069E+07    0.13825E+05
    50    0.14143E+04    0.12156E+00    0.55166E+00    0.61893E+07    0.13549E+05
    51    0.14343E+04    0.12930E+00    0.36872E+00    0.61707E+07    0.13280E+05
    52    0.14546E+04    0.13733E+00    0.16768E+00    0.61512E+07    0.13017E+05
    53    0.14749E+04    0.14581E+00   -0.54423E-01    0.61307E+07    0.12762E+05
    54    0.14951E+04    0.15473E+00   -0.29256E+00    0.61094E+07    0.12517E+05
    55    0.15155E+04    0.16407E+00   -0.54161E+00    0.60873E+07    0.12282E+05
    56    0.15363E+04    0.17368E+00   -0.80269E+00    0.60645E+07    0.12059E+05
    57    0.15573E+04    0.18346E+00   -0.10757E+01    0.60410E+07    0.11845E+05
    58    0.15786E+04    0.19342E+00   -0.13614E+01    0.60169E+07    0.11640E+05
    59    0.16001E+04    0.20357E+00   -0.16607E+01    0.59921E+07    0.11441E+05
    60    0.16218E+04    0.21399E+00   -0.19730E+01    0.59668E+07    0.11246E+05
    61    0.16439E+04    0.22475E+00   -0.22974E+01    0.59408E+07    0.11054E+05
    62    0.16659E+04    0.23585E+00   -0.26351E+01    0.59144E+07    0.10864E+05
    63    0.16880E+04    0.24724E+00   -0.29869E+01    0.58876E+07    0.10677E+05
    64    0.17106E+04    0.25895E+00   -0.33541E+01    0.58603E+07    0.10492E+05
    65    0.17331E+04    0.27094E+00   -0.37375E+01    0.58327E+07    0.10311E+05
    66    0.17560E+04    0.28316E+00   -0.41352E+01    0.58048E+07    0.10133E+05
    67    0.17791E+04    0.29560E+00   -0.45445E+01    0.57766E+07    0.99590E+04
    68    0.18025E+04    0.30830E+00   -0.49639E+01    0.57482E+07    0.97898E+04
    69    0.18262E+04    0.32122E+00   -0.53917E+01    0.57196E+07    0.96260E+04
    70    0.18502E+04    0.33439E+00   -0.58299E+01    0.56908E+07    0.94683E+04
    71    0.18743E+04    0.34781E+00   -0.62807E+01    0.56618E+07    0.93173E+04
    72    0.18986E+04    0.36145E+00   -0.67454E+01    0.56326E+07    0.91724E+04
    73    0.19231E+04    0.37527E+00   -0.72244E+01    0.56033E+07    0.90332E+04
    74    0.19477E+04    0.38926E+00   -0.77166E+01    0.55739E+07    0.88989E+04
    75    0.19727E+04    0.40343E+00   -0.82203E+01    0.55443E+07    0.87689E+04
    76    0.19979E+04    0.41778E+00   -0.87346E+01    0.55145E+07    0.86426E+04
    77    0.20235E+04    0.43230E+00   -0.92594E+01    0.54847E+07    0.85196E+04
    78    0.20495E+04    0.44701E+00   -0.97961E+01    0.54547E+07    0.83993E+04
    79    0.20757E+04    0.46187E+00   -0.10341E+02    0.54247E+07    0.82815E+04
    80    0.21021E+04    0.47687E+00   -0.10895E+02    0.53946E+07    0.81656E+04
    81    0.21288E+04    0.49197E+00   -0.11460E+02    0.53645E+07    0.80513E+04
    82    0.21557E+04    0.50717E+00   -0.12034E+02    0.53344E+07    0.79385E+04
    83    0.21828E+04    0.52247E+00   -0.12616E+02    0.53043E+07    0.78270E+04
    84    0.22102E+04    0.53785E+00   -0.13206E+02    0.52742E+07    0.77168E+04
    85    0.22377E+04    0.55328E+00   -0.13805E+02    0.52441E+07    0.76078E+04
    86    0.22654E+04    0.56878E+00   -0.14410E+02    0.52141E+07    0.74999E+04
    87    0.22936E+04    0.58432E+00   -0.15022E+02    0.51841E+07    0.73934E+04
    88    0.23217E+04    0.59990E+00   -0.15641E+02    0.51542E+07    0.72887E+04
    89    0.23502E+04    0.61553E+00   -0.16267E+02    0.51243E+07    0.71861E+04
    90    0.23789E+04    0.63115E+00   -0.16899E+02    0.50945E+07    0.70860E+04
    91    0.24078E+04    0.64676E+00   -0.17535E+02    0.50648E+07    0.69886E+04
    92    0.24369E+04    0.66234E+00   -0.18177E+02    0.50353E+07    0.68940E+04
    93    0.24664E+04    0.67789E+00   -0.18823E+02    0.50057E+07    0.68019E+04
    94    0.24959E+04    0.69338E+00   -0.19472E+02    0.49763E+07    0.67124E+04
    95    0.25257E+04    0.70879E+00   -0.20125E+02    0.49470E+07    0.66253E+04
