#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10751E+04    0.27964E+01    0.13091E-02    0.27964E+01    0.34921E-01   -0.53615E-05    0.13091E-02   -0.53615E-05    0.84689E-08
     3    0.10118E+04    0.32152E+01    0.92371E-03    0.32152E+01    0.47082E-01   -0.41702E-05    0.92371E-03   -0.41702E-05    0.51562E-08
     4    0.95223E+03    0.30815E+01    0.69730E-03    0.30815E+01    0.43399E-01   -0.28499E-05    0.69730E-03   -0.28499E-05    0.35666E-08
     5    0.90747E+03    0.26802E+01    0.54952E-03    0.26802E+01    0.31188E-01   -0.17107E-05    0.54952E-03   -0.17107E-05    0.26517E-08
     6    0.87625E+03    0.22030E+01    0.44663E-03    0.22030E+01    0.18733E-01   -0.83889E-06    0.44663E-03   -0.83889E-06    0.20651E-08
     7    0.85569E+03    0.17594E+01    0.37181E-03    0.17594E+01    0.10301E-01   -0.24451E-06    0.37181E-03   -0.24451E-06    0.16620E-08
     8    0.84264E+03    0.14009E+01    0.31505E-03    0.14009E+01    0.61040E-02    0.10015E-06    0.31505E-03    0.10015E-06    0.13707E-08
     9    0.83546E+03    0.11422E+01    0.27044E-03    0.11422E+01    0.44749E-02    0.24742E-06    0.27044E-03    0.24742E-06    0.11522E-08
    10    0.83261E+03    0.98107E+00    0.23466E-03    0.98107E+00    0.38072E-02    0.26313E-06    0.23466E-03    0.26313E-06    0.98333E-09
    11    0.83265E+03    0.90345E+00    0.20585E-03    0.90345E+00    0.33157E-02    0.20867E-06    0.20585E-03    0.20867E-06    0.84994E-09
    12    0.83617E+03    0.89113E+00    0.18241E-03    0.89113E+00    0.29899E-02    0.12688E-06    0.18241E-03    0.12688E-06    0.74215E-09
    13    0.84143E+03    0.91985E+00    0.16304E-03    0.91985E+00    0.26054E-02    0.42024E-07    0.16304E-03    0.42024E-07    0.65396E-09
    14    0.84746E+03    0.96608E+00    0.14666E-03    0.96608E+00    0.25235E-02   -0.27248E-07    0.14666E-03   -0.27248E-07    0.58058E-09
    15    0.85463E+03    0.10222E+01    0.13255E-03    0.10222E+01    0.26787E-02   -0.69482E-07    0.13255E-03   -0.69482E-07    0.51891E-09
    16    0.86347E+03    0.10849E+01    0.12021E-03    0.10849E+01    0.29065E-02   -0.79178E-07    0.12021E-03   -0.79178E-07    0.46647E-09
    17    0.87396E+03    0.11497E+01    0.10943E-03    0.11497E+01    0.32932E-02   -0.67458E-07    0.10943E-03   -0.67458E-07    0.42155E-09
    18    0.88518E+03    0.12140E+01    0.10007E-03    0.12140E+01    0.37901E-02   -0.48330E-07    0.10007E-03   -0.48330E-07    0.38272E-09
    19    0.89794E+03    0.12781E+01    0.91882E-04    0.12781E+01    0.44050E-02   -0.30722E-07    0.91882E-04   -0.30722E-07    0.34893E-09
    20    0.91054E+03    0.13405E+01    0.84635E-04    0.13405E+01    0.52015E-02   -0.20174E-07    0.84635E-04   -0.20174E-07    0.31929E-09
    21    0.92335E+03    0.14056E+01    0.78183E-04    0.14056E+01    0.61418E-02   -0.13769E-07    0.78183E-04   -0.13769E-07    0.29317E-09
    22    0.93669E+03    0.14759E+01    0.72415E-04    0.14759E+01    0.72475E-02   -0.78941E-08    0.72415E-04   -0.78941E-08    0.27004E-09
    23    0.95037E+03    0.15480E+01    0.67249E-04    0.15480E+01    0.85192E-02   -0.46235E-08    0.67249E-04   -0.46235E-08    0.24945E-09
    24    0.96446E+03    0.16173E+01    0.62611E-04    0.16173E+01    0.99255E-02   -0.65622E-08    0.62611E-04   -0.65622E-08    0.23104E-09
    25    0.97890E+03    0.16829E+01    0.58431E-04    0.16829E+01    0.11497E-01   -0.12750E-07    0.58431E-04   -0.12750E-07    0.21451E-09
    26    0.99352E+03    0.17451E+01    0.54644E-04    0.17451E+01    0.13236E-01   -0.20851E-07    0.54644E-04   -0.20851E-07    0.19961E-09
    27    0.10086E+04    0.18011E+01    0.51196E-04    0.18011E+01    0.15128E-01   -0.26583E-07    0.51196E-04   -0.26583E-07    0.18615E-09
    28    0.10239E+04    0.18492E+01    0.48040E-04    0.18492E+01    0.17185E-01   -0.26494E-07    0.48040E-04   -0.26494E-07    0.17394E-09
    29    0.10395E+04    0.18894E+01    0.45153E-04    0.18894E+01    0.19424E-01   -0.22387E-07    0.45153E-04   -0.22387E-07    0.16283E-09
    30    0.10554E+04    0.19211E+01    0.42516E-04    0.19211E+01    0.21868E-01   -0.17276E-07    0.42516E-04   -0.17276E-07    0.15268E-09
    31    0.10714E+04    0.19453E+01    0.40098E-04    0.19453E+01    0.24522E-01   -0.13747E-07    0.40098E-04   -0.13747E-07    0.14339E-09
    32    0.10877E+04    0.19624E+01    0.37865E-04    0.19624E+01    0.27377E-01   -0.13477E-07    0.37865E-04   -0.13477E-07    0.13487E-09
    33    0.11043E+04    0.19707E+01    0.35798E-04    0.19707E+01    0.30437E-01   -0.14927E-07    0.35798E-04   -0.14927E-07    0.12704E-09
    34    0.11211E+04    0.19692E+01    0.33882E-04    0.19692E+01    0.33722E-01   -0.15990E-07    0.33882E-04   -0.15990E-07    0.11983E-09
    35    0.11381E+04    0.19604E+01    0.32105E-04    0.19604E+01    0.37247E-01   -0.15504E-07    0.32105E-04   -0.15504E-07    0.11318E-09
    36    0.11551E+04    0.19454E+01    0.30456E-04    0.19454E+01    0.41026E-01   -0.13054E-07    0.30456E-04   -0.13054E-07    0.10703E-09
    37    0.11722E+04    0.19208E+01    0.28932E-04    0.19208E+01    0.45049E-01   -0.10268E-07    0.28932E-04   -0.10268E-07    0.10133E-09
    38    0.11897E+04    0.18849E+01    0.27528E-04    0.18849E+01    0.49310E-01   -0.87955E-08    0.27528E-04   -0.87955E-08    0.96034E-10
    39    0.12077E+04    0.18378E+01    0.26227E-04    0.18378E+01    0.53813E-01   -0.83418E-08    0.26227E-04   -0.83418E-08    0.91115E-10
    40    0.12257E+04    0.17799E+01    0.25013E-04    0.17799E+01    0.58571E-01   -0.81236E-08    0.25013E-04   -0.81236E-08    0.86535E-10
    41    0.12439E+04    0.17113E+01    0.23867E-04    0.17113E+01    0.63599E-01   -0.75296E-08    0.23867E-04   -0.75296E-08    0.82259E-10
    42    0.12622E+04    0.16311E+01    0.22786E-04    0.16311E+01    0.68907E-01   -0.66373E-08    0.22786E-04   -0.66373E-08    0.78266E-10
    43    0.12806E+04    0.15385E+01    0.21768E-04    0.15385E+01    0.74503E-01   -0.56959E-08    0.21768E-04   -0.56959E-08    0.74533E-10
    44    0.12990E+04    0.14333E+01    0.20809E-04    0.14333E+01    0.80379E-01   -0.49547E-08    0.20809E-04   -0.49547E-08    0.71040E-10
    45    0.13177E+04    0.13154E+01    0.19908E-04    0.13154E+01    0.86540E-01   -0.46630E-08    0.19908E-04   -0.46630E-08    0.67765E-10
    46    0.13368E+04    0.11831E+01    0.19062E-04    0.11831E+01    0.92989E-01   -0.50065E-08    0.19062E-04   -0.50065E-08    0.64689E-10
    47    0.13559E+04    0.10372E+01    0.18267E-04    0.10372E+01    0.99724E-01   -0.59152E-08    0.18267E-04   -0.59152E-08    0.61797E-10
    48    0.13752E+04    0.88205E+00    0.17518E-04    0.88205E+00    0.10675E+00   -0.72556E-08    0.17518E-04   -0.72556E-08    0.59077E-10
    49    0.13946E+04    0.72124E+00    0.16811E-04    0.72124E+00    0.11404E+00   -0.88941E-08    0.16811E-04   -0.88941E-08    0.56517E-10
