#    L    TT             EE             BB             TE          
     2    0.24538E+02    0.45343E-03    0.80927E-03    0.28998E-01
     3    0.19764E+02    0.48062E-03    0.82154E-03    0.26045E-03
     4    0.18639E+02    0.43554E-03    0.71407E-03   -0.82347E-02
     5    0.18262E+02    0.34473E-03    0.55859E-03   -0.10384E-01
     6    0.18159E+02    0.25109E-03    0.40800E-03   -0.10156E-01
     7    0.18184E+02    0.18123E-03    0.29053E-03   -0.92769E-02
     8    0.18264E+02    0.14331E-03    0.21417E-03   -0.85711E-02
     9    0.18372E+02    0.13394E-03    0.17526E-03   -0.82371E-02
    10    0.18489E+02    0.14453E-03    0.16530E-03   -0.82646E-02
    11    0.18594E+02    0.16714E-03    0.17513E-03   -0.87115E-02
    12    0.18661E+02    0.19633E-03    0.19743E-03   -0.94149E-02
    13    0.18707E+02    0.22968E-03    0.22751E-03   -0.10334E-01
    14    0.18755E+02    0.26566E-03    0.26178E-03   -0.11475E-01
    15    0.18814E+02    0.30379E-03    0.29882E-03   -0.12829E-01
    16    0.18883E+02    0.34386E-03    0.33786E-03   -0.14379E-01
    17    0.18947E+02    0.38575E-03    0.37856E-03   -0.16109E-01
    18    0.18987E+02    0.42935E-03    0.42076E-03   -0.17995E-01
    19    0.19004E+02    0.47467E-03    0.46438E-03   -0.19995E-01
    20    0.19001E+02    0.52174E-03    0.50939E-03   -0.22076E-01
    21    0.18984E+02    0.57059E-03    0.55572E-03   -0.24263E-01
    22    0.18956E+02    0.62124E-03    0.60329E-03   -0.26585E-01
    23    0.18917E+02    0.67351E-03    0.65203E-03   -0.29025E-01
    24    0.18866E+02    0.72721E-03    0.70187E-03   -0.31558E-01
    25    0.18807E+02    0.78225E-03    0.75268E-03   -0.34175E-01
    26    0.18739E+02    0.83849E-03    0.80436E-03   -0.36867E-01
    27    0.18663E+02    0.89572E-03    0.85693E-03   -0.39610E-01
    28    0.18578E+02    0.95382E-03    0.91040E-03   -0.42385E-01
    29    0.18485E+02    0.10133E-02    0.96475E-03   -0.45221E-01
    30    0.18384E+02    0.10748E-02    0.10199E-02   -0.48143E-01
    31    0.18276E+02    0.11380E-02    0.10757E-02   -0.51131E-01
    32    0.18162E+02    0.12026E-02    0.11321E-02   -0.54157E-01
    33    0.18040E+02    0.12681E-02    0.11891E-02   -0.57211E-01
    34    0.17912E+02    0.13338E-02    0.12464E-02   -0.60285E-01
    35    0.17776E+02    0.14001E-02    0.13040E-02   -0.63375E-01
    36    0.17636E+02    0.14674E-02    0.13616E-02   -0.66472E-01
    37    0.17490E+02    0.15358E-02    0.14195E-02   -0.69567E-01
    38    0.17338E+02    0.16051E-02    0.14776E-02   -0.72649E-01
    39    0.17181E+02    0.16752E-02    0.15359E-02   -0.75715E-01
    40    0.17018E+02    0.17459E-02    0.15940E-02   -0.78763E-01
    41    0.16850E+02    0.18169E-02    0.16520E-02   -0.81792E-01
