#    L    TT             EE             BB             TE          
     2    0.11242E+04    0.35830E-01    0.16203E-02    0.28544E+01
     3    0.10513E+04    0.48047E-01    0.16466E-02    0.32157E+01
     4    0.98952E+03    0.44276E-01    0.14340E-02    0.30650E+01
     5    0.94401E+03    0.31886E-01    0.11259E-02    0.26594E+01
     6    0.91259E+03    0.19248E-01    0.82827E-03    0.21827E+01
     7    0.89209E+03    0.10680E-01    0.59744E-03    0.17408E+01
     8    0.87920E+03    0.64117E-02    0.44941E-03    0.13838E+01
     9    0.87225E+03    0.47691E-02    0.37686E-03    0.11257E+01
    10    0.86965E+03    0.41284E-02    0.36281E-03    0.96453E+00
    11    0.86991E+03    0.36887E-02    0.38894E-03    0.88601E+00
    12    0.87358E+03    0.34283E-02    0.44059E-03    0.87228E+00
    13    0.87894E+03    0.31181E-02    0.50839E-03    0.89915E+00
    14    0.88508E+03    0.31164E-02    0.58518E-03    0.94309E+00
    15    0.89239E+03    0.33567E-02    0.66811E-03    0.99647E+00
    16    0.90138E+03    0.36741E-02    0.75563E-03    0.10561E+01
    17    0.91201E+03    0.41547E-02    0.84710E-03    0.11174E+01
    18    0.92334E+03    0.47494E-02    0.94215E-03    0.11780E+01
    19    0.93615E+03    0.54662E-02    0.10407E-02    0.12380E+01
    20    0.94876E+03    0.63687E-02    0.11425E-02    0.12962E+01
    21    0.96156E+03    0.74191E-02    0.12477E-02    0.13569E+01
    22    0.97486E+03    0.86391E-02    0.13559E-02    0.14226E+01
    23    0.98848E+03    0.10029E-01    0.14671E-02    0.14897E+01
    24    0.10025E+04    0.11557E-01    0.15811E-02    0.15540E+01
    25    0.10168E+04    0.13254E-01    0.16977E-02    0.16142E+01
    26    0.10313E+04    0.15121E-01    0.18166E-02    0.16710E+01
    27    0.10463E+04    0.17143E-01    0.19379E-02    0.17215E+01
    28    0.10614E+04    0.19333E-01    0.20617E-02    0.17640E+01
    29    0.10769E+04    0.21708E-01    0.21878E-02    0.17984E+01
    30    0.10926E+04    0.24293E-01    0.23161E-02    0.18242E+01
    31    0.11084E+04    0.27092E-01    0.24464E-02    0.18424E+01
    32    0.11245E+04    0.30095E-01    0.25786E-02    0.18534E+01
    33    0.11409E+04    0.33306E-01    0.27124E-02    0.18554E+01
    34    0.11575E+04    0.36743E-01    0.28476E-02    0.18477E+01
    35    0.11742E+04    0.40420E-01    0.29839E-02    0.18327E+01
    36    0.11910E+04    0.44355E-01    0.31210E-02    0.18114E+01
    37    0.12078E+04    0.48538E-01    0.32592E-02    0.17805E+01
    38    0.12251E+04    0.52960E-01    0.33985E-02    0.17383E+01
    39    0.12427E+04    0.57626E-01    0.35387E-02    0.16850E+01
    40    0.12604E+04    0.62549E-01    0.36793E-02    0.16209E+01
    41    0.12784E+04    0.67743E-01    0.38201E-02    0.15461E+01
    42    0.12963E+04    0.73218E-01    0.39609E-02    0.14599E+01
    43    0.13144E+04    0.78982E-01    0.41016E-02    0.13612E+01
    44    0.13325E+04    0.85028E-01    0.42422E-02    0.12500E+01
    45    0.13509E+04    0.91359E-01    0.43825E-02    0.11262E+01
    46    0.13696E+04    0.97980E-01    0.45224E-02    0.98803E+00
    47    0.13884E+04    0.10489E+00    0.46619E-02    0.83645E+00
    48    0.14073E+04    0.11208E+00    0.48007E-02    0.67568E+00
    49    0.14263E+04    0.11954E+00    0.49387E-02    0.50940E+00
    50    0.14457E+04    0.12725E+00    0.50758E-02    0.33448E+00
    51    0.14652E+04    0.13516E+00    0.52118E-02    0.14636E+00
    52    0.14852E+04    0.14336E+00    0.53465E-02   -0.59713E-01
    53    0.15051E+04    0.15202E+00    0.54800E-02   -0.28668E+00
    54    0.15249E+04    0.16111E+00    0.56122E-02   -0.52953E+00
    55    0.15449E+04    0.17062E+00    0.57429E-02   -0.78310E+00
    56    0.15652E+04    0.18040E+00    0.58721E-02   -0.10485E+01
    57    0.15859E+04    0.19036E+00    0.59997E-02   -0.13257E+01
    58    0.16068E+04    0.20048E+00    0.61255E-02   -0.16154E+01
    59    0.16279E+04    0.21081E+00    0.62495E-02   -0.19185E+01
    60    0.16491E+04    0.22139E+00    0.63716E-02   -0.22343E+01
    61    0.16708E+04    0.23232E+00    0.64916E-02   -0.25622E+01
    62    0.16924E+04    0.24358E+00    0.66095E-02   -0.29029E+01
    63    0.17141E+04    0.25514E+00    0.67253E-02   -0.32576E+01
    64    0.17362E+04    0.26701E+00    0.68388E-02   -0.36276E+01
