#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11732E+04    0.36735E-01    0.32371E-02    0.29124E+01    0.50813E-07    0.32067E-02   -0.13133E-04
     3    0.10908E+04    0.49004E-01    0.32862E-02    0.32162E+01    0.61874E-07    0.31998E-02   -0.14446E-04
     4    0.10268E+04    0.45142E-01    0.28563E-02    0.30485E+01    0.71332E-07    0.31184E-02   -0.12745E-04
     5    0.98052E+03    0.32567E-01    0.22344E-02    0.26387E+01    0.79551E-07    0.30098E-02   -0.93697E-05
     6    0.94889E+03    0.19738E-01    0.16320E-02    0.21624E+01    0.86736E-07    0.28945E-02   -0.54366E-05
     7    0.92843E+03    0.11026E-01    0.11621E-02    0.17223E+01    0.93071E-07    0.27824E-02   -0.18297E-05
     8    0.91569E+03    0.66772E-02    0.85670E-03    0.13666E+01    0.98688E-07    0.26733E-02    0.84983E-06
     9    0.90894E+03    0.50107E-02    0.70104E-03    0.11093E+01    0.10370E-06    0.25656E-02    0.23472E-05
    10    0.90657E+03    0.43853E-02    0.66120E-03    0.94801E+00    0.10817E-06    0.24611E-02    0.27598E-05
    11    0.90703E+03    0.39843E-02    0.70054E-03    0.86860E+00    0.11219E-06    0.23650E-02    0.23974E-05
    12    0.91081E+03    0.37752E-02    0.78973E-03    0.85347E+00    0.11579E-06    0.22786E-02    0.15794E-05
    13    0.91626E+03    0.35241E-02    0.91002E-03    0.87851E+00    0.11902E-06    0.21996E-02    0.56693E-06
    14    0.92248E+03    0.35861E-02    0.10471E-02    0.92018E+00    0.12193E-06    0.21254E-02   -0.39844E-06
    15    0.92989E+03    0.38939E-02    0.11953E-02    0.97086E+00    0.12454E-06    0.20535E-02   -0.10764E-05
    16    0.93900E+03    0.42820E-02    0.13514E-02    0.10274E+01    0.12689E-06    0.19825E-02   -0.12997E-05
    17    0.94975E+03    0.48362E-02    0.15143E-02    0.10853E+01    0.12900E-06    0.19142E-02   -0.11800E-05
    18    0.96113E+03    0.55075E-02    0.16830E-02    0.11421E+01    0.13089E-06    0.18506E-02   -0.89215E-06
    19    0.97396E+03    0.63037E-02    0.18575E-02    0.11981E+01    0.13259E-06    0.17911E-02   -0.59887E-06
    20    0.98655E+03    0.72885E-02    0.20376E-02    0.12522E+01    0.13410E-06    0.17345E-02   -0.41680E-06
    21    0.99929E+03    0.84242E-02    0.22229E-02    0.13085E+01    0.13545E-06    0.16805E-02   -0.29596E-06
    22    0.10125E+04    0.97324E-02    0.24132E-02    0.13696E+01    0.13664E-06    0.16290E-02   -0.17500E-06
    23    0.10260E+04    0.11213E-01    0.26081E-02    0.14319E+01    0.13770E-06    0.15800E-02   -0.10863E-06
    24    0.10399E+04    0.12834E-01    0.28075E-02    0.14911E+01    0.13862E-06    0.15337E-02   -0.16149E-06
    25    0.10541E+04    0.14626E-01    0.30107E-02    0.15462E+01    0.13943E-06    0.14897E-02   -0.32507E-06
    26    0.10685E+04    0.16590E-01    0.32175E-02    0.15976E+01    0.14013E-06    0.14478E-02   -0.55437E-06
    27    0.10832E+04    0.18711E-01    0.34277E-02    0.16427E+01    0.14073E-06    0.14077E-02   -0.73091E-06
    28    0.10982E+04    0.21000E-01    0.36416E-02    0.16796E+01    0.14124E-06    0.13689E-02   -0.75346E-06
    29    0.11135E+04    0.23477E-01    0.38590E-02    0.17085E+01    0.14166E-06    0.13318E-02   -0.66034E-06
    30    0.11289E+04    0.26167E-01    0.40795E-02    0.17285E+01    0.14199E-06    0.12966E-02   -0.52616E-06
    31    0.11445E+04    0.29074E-01    0.43029E-02    0.17408E+01    0.14224E-06    0.12629E-02   -0.43299E-06
    32    0.11603E+04    0.32187E-01    0.45285E-02    0.17458E+01    0.14242E-06    0.12305E-02   -0.43890E-06
    33    0.11765E+04    0.35510E-01    0.47562E-02    0.17418E+01    0.14254E-06    0.11991E-02   -0.49999E-06
    34    0.11928E+04    0.39058E-01    0.49856E-02    0.17280E+01    0.14260E-06    0.11688E-02   -0.55205E-06
    35    0.12092E+04    0.42847E-01    0.52159E-02    0.17069E+01    0.14261E-06    0.11396E-02   -0.55036E-06
    36    0.12256E+04    0.46895E-01    0.54465E-02    0.16795E+01    0.14256E-06    0.11115E-02   -0.47495E-06
    37    0.12422E+04    0.51192E-01    0.56779E-02    0.16426E+01    0.14246E-06    0.10849E-02   -0.38500E-06
    38    0.12591E+04    0.55731E-01    0.59104E-02    0.15943E+01    0.14232E-06    0.10598E-02   -0.34118E-06
    39    0.12764E+04    0.60514E-01    0.61434E-02    0.15349E+01    0.14214E-06    0.10359E-02   -0.33221E-06
    40    0.12938E+04    0.65554E-01    0.63762E-02    0.14648E+01    0.14192E-06    0.10129E-02   -0.32898E-06
    41    0.13113E+04    0.70866E-01    0.66079E-02    0.13841E+01    0.14165E-06    0.99040E-03   -0.30910E-06
    42    0.13289E+04    0.76459E-01    0.68383E-02    0.12920E+01    0.14136E-06    0.96834E-03   -0.27673E-06
    43    0.13466E+04    0.82341E-01    0.70674E-02    0.11874E+01    0.14103E-06    0.94682E-03   -0.24264E-06
    44    0.13643E+04    0.88505E-01    0.72948E-02    0.10705E+01    0.14066E-06    0.92593E-03   -0.21755E-06
    45    0.13823E+04    0.94954E-01    0.75205E-02    0.94100E+00    0.14027E-06    0.90577E-03   -0.21215E-06
