#    L    TT             EE             BB             TE          
     2    0.11732E+04    0.36735E-01    0.32371E-02    0.29124E+01
     3    0.10908E+04    0.49004E-01    0.32862E-02    0.32162E+01
     4    0.10268E+04    0.45142E-01    0.28563E-02    0.30485E+01
     5    0.98052E+03    0.32567E-01    0.22344E-02    0.26387E+01
     6    0.94889E+03    0.19738E-01    0.16320E-02    0.21624E+01
     7    0.92843E+03    0.11026E-01    0.11621E-02    0.17223E+01
     8    0.91569E+03    0.66772E-02    0.85670E-03    0.13666E+01
     9    0.90894E+03    0.50107E-02    0.70104E-03    0.11093E+01
    10    0.90657E+03    0.43853E-02    0.66120E-03    0.94801E+00
    11    0.90703E+03    0.39843E-02    0.70054E-03    0.86860E+00
    12    0.91081E+03    0.37752E-02    0.78973E-03    0.85347E+00
    13    0.91626E+03    0.35241E-02    0.91002E-03    0.87851E+00
    14    0.92248E+03    0.35861E-02    0.10471E-02    0.92018E+00
    15    0.92989E+03    0.38939E-02    0.11953E-02    0.97086E+00
    16    0.93900E+03    0.42820E-02    0.13514E-02    0.10274E+01
    17    0.94975E+03    0.48362E-02    0.15143E-02    0.10853E+01
    18    0.96113E+03    0.55075E-02    0.16830E-02    0.11421E+01
    19    0.97396E+03    0.63037E-02    0.18575E-02    0.11981E+01
    20    0.98655E+03    0.72885E-02    0.20376E-02    0.12522E+01
    21    0.99929E+03    0.84242E-02    0.22229E-02    0.13085E+01
    22    0.10125E+04    0.97324E-02    0.24132E-02    0.13696E+01
    23    0.10260E+04    0.11213E-01    0.26081E-02    0.14319E+01
    24    0.10399E+04    0.12834E-01    0.28075E-02    0.14911E+01
    25    0.10541E+04    0.14626E-01    0.30107E-02    0.15462E+01
    26    0.10685E+04    0.16590E-01    0.32175E-02    0.15976E+01
    27    0.10832E+04    0.18711E-01    0.34277E-02    0.16427E+01
    28    0.10982E+04    0.21000E-01    0.36416E-02    0.16796E+01
    29    0.11135E+04    0.23477E-01    0.38590E-02    0.17085E+01
    30    0.11289E+04    0.26167E-01    0.40795E-02    0.17285E+01
    31    0.11445E+04    0.29074E-01    0.43029E-02    0.17408E+01
